YLR331C	Jumonji Interacting Protein
YCR086W	Chromosome segregation in meiosis
YCR087W	Hypothetical ORF
YCR087C-A	Hypothetical ORF
YCR088W	actin binding protein
YCR089W	GPI-anchored cell wall protein (putative)
YCR090C	Hypothetical ORF
YCR091W	serine/threonine kinase (putative)|similar to cyclic nucleotide-dependent protein kinase subfamily and the protein kinase C subfamily
YCR092C	forms a complex with Msh2p to repair insertion-deletion mispairs; redundant with Pms3/Msh6p in repair of insertion-deletion mispairs|mutS homolog
YCR093W	basal transcription inhibitor|transcriptional regulator
YCR094W	cell division cycle mutant
YCR095C	Hypothetical ORF
YCR097W	homeobox transcription factor
YCR097W	homeobox transcription factor
YCR098C	permease involved in the uptake of glycerophosphoinositol (GroPIns)
YCR099C	Hypothetical ORF
YCR100C	Hypothetical ORF
YCR101C	Hypothetical ORF
YCR102C	Hypothetical ORF
YCR104W	member of the seripauperin protein/gene family (see Gene_class PAU)
YCR105W	medium chain alcohol dehydrogenase
YCR106W	transcriptional regulator
YCL022C	Hypothetical ORF
YCL022C	Hypothetical ORF
YCR062W	
YCR064C	Hypothetical ORF
YCR063W	
YCR065W	forkhead protein
YCR066W	ATPase (putative)|zinc finger protein
YCR067C	Sed4p is an integral ER membrane protein, which, along along with its close homolog, Sec12p, is involved in vesicle formation at the ER
YCR068W	lipase (putative)
YCR068W	lipase (putative)
YCR069W	cyclophilin|peptidyl-prolyl cis-trans isomerase (PPIase)
YCR071C	required for integrity of mitochondrial genome
YCR072C	Protein required for cell viability
YCR073C	functionally redundant with, and homologous to, SSK2
YCR073W-A	multicopy suppressor of los1-1
YCR075C	Suppressor of ERD1 mutation; seven transmembrane domain protein
YCR076C	Hypothetical ORF
YCR077C	Necessary for accurate chromosome transmission during cell; Involved in mRNA turnover
YCR079W	Hypothetical ORF
YCR081W	activation mediator subcomplex of RNA polymerase I holoenzyme
YCR082W	Hypothetical ORF
YCR083W	thioredoxin
YCR084C	glucose repression regulatory protein, exhibits similarity to beta subunits of G proteins
YCR085W	Hypothetical ORF
YCR035C	exosome 3->5 exoribonuclease complex component with Rrp4p, Rrp41p, Rrp42p and Dis3p (Rrp44p)
YCR036W	ribokinase
YCR037C	phosphate permease
YCR038C	GTP/GDP exchange factor for Rsr1 protein
YCR041W	Hypothetical ORF
YCR042C	TATA binding protein-associated factor
YCR043C	Hypothetical ORF
YCR044C	Protein Processing in the ER
YCR045C	Hypothetical ORF
YCR046C	mitochondrial ribosomal protein
YCR047C	
YCR049C	Hypothetical ORF
YCR048W	acyl-CoA cholesterol acyltransferase (sterol-ester synthetase)
YCR050C	Hypothetical ORF
YCR051W	Hypothetical ORF
YCR052W	a subunit of RSC, a fifteen-protein chromatin remodeling complex and related to the swi/snf complex.
YCR053W	threonine synthase
YCR054C	CTR86 shares a terminator region with THR4. CTR86 contains aGCN4 responsive site suggesting it may also be involved in amino acid biosynthesis.
YCR057C	U3 snoRNP protein
YCR059C	piecemeal microautophagy of the nucleus (PMN)
YCR060W	Hypothetical ORF
YCR061W	Hypothetical ORF
YCR061W	Hypothetical ORF
YCR016W	Hypothetical ORF
YCR017C	
YCR018C	involved in the processing of pre-rRNA to mature rRNA
YCR019W	Protein necessary for structural stability of L-A double-stranded RNA-containing particles
YCR020C	Transcription regulator
YCR020C-A	Like Sm protein; member of the Sm protein family, though slightly divergent because Mak31/Lsm9p does not contain a glycine or cysteine at amino acid 107.
YCR021C	Protein induced by heat shock, ethanol treatment, and entry into stationary phase; located in plasma membrane
YCR022C	Hypothetical ORF
YCR023C	Hypothetical ORF
YCR024C	Hypothetical ORF
YCR024C-A	proteolipid associated with plasma membrane H(+)-ATPase (Pma1p)
YCR025C	Hypothetical ORF
YCR026C	Hypothetical ORF
YCR027C	GTP-binding protein|ras family|Rheb
YCR028C	Plasma Membrane H+-Pantothenate Symporter
YCR028C-A	DNA binding protein
YCR028C-A	DNA binding protein
YCR030C	Suppressor of Yeast Profilin deletion
YCR031C	ribosomal protein S14A (rp59A)
YCR032W	beige protein homologue 1
YCR033W	
YCR034W	1,3-beta-glucan synthase subunit (putative)|ELO1 homolog
YCL010C	Probable 29kKDa Subunit of SAGA histone acetyltransferase complex
YCL009C	acetolactate synthase regulatory subunit
YCL007C	calcofluor white hypersensitivity
YCL006C	
YCL005W	Hypothetical ORF
YCL004W	17 kDa phosphatidylglycerolphosphate synthase
YCL002C	Hypothetical ORF
YCL001W	Protein involved in retention of membrane proteins, including Sec12p, in the ER; localized to Golgi, where it may function in returning membrane proteins to the ER
YCL001W-A	Hypothetical ORF
YCR001W	Hypothetical ORF
YCR002C	septin
YCR003W	ribosomal protein (YmL32)
YCR004C	Protein with similarity to S. pombe brefeldin A resistance protein obr1 and E. coli WrbA protein which stimulates binding of Trp repressor to DNA
YCR005C	citrate synthase
YCR006C	Hypothetical ORF
YCR008W	Protein with similarity to Npr1p protein kinase
YCR009C	Protein required for viability after N, C, or S starvation. The BAR adaptor proteins encoded by RVS167 and RVS161 form a complex that regulates actin, endocytosis, and viability following starvation or osmotic stress.
YCR010C	transmembrane protein
YCR011C	Shows homology to ATP-dependent permeases
YCR013C	Protein required for cell viability
YCR012W	3-phosphoglycerate kinase
YCR014C	DNA polymerase IV
YCR015C	Hypothetical ORF
YCL039W	Involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase
YCL038C	Autophagy gene essential for breakdown of autophagic vesicles in the vacuole
YCL037C	Associates with translating ribosomes; may function in the cytoplasm to modulate mRNA translation; may be involved in organization of actin filaments
YCL036W	Great for FULL DEAD box protein activity
YCL035C	glutaredoxin|EC 1.20.4.1
YCL034W	LAs17 Binding protein
YCL033C	Hypothetical ORF
YCL032W	contains SAM (sterile alpha motif)
YCL031C	involved in rRNA processing
YCL030C	histidinol dehydrogenase
YCL029C	Microtubule-associated protein required for microtubule function during mating and mitosis
YCL028W	transferable epigenetic modifier, forms a prion responsible for the [PIN(+)] phenotype
YCL027W	cell-surface protein required for cell fusion
YCL026C-A	Protein involved in the integration of lipid signaling pathways with cellular homeostatis
YCL025C	amino acid permease
YCL023C	Hypothetical ORF
YCL018W	beta-IPM (isopropylmalate) dehydrogenase
YCL017C	NifS-like protein
YCL016C	Defective in sister Chromatid Cohesion
YCL014W	cell cycle regulated protein required for axial bud formation; co-assembles with Bud4p at bud sites
YCL012W	
YCL011C	contains RNA recognition motifs
YCL064C	catabolic serine (threonine) dehydratase
YCL063W	the vacuole-specific receptor of Myo2p, a class V myosin
YCL061C	Mediator of the Replication Checkpoint; required for full activation of Rad53p in response to replication stress.
YCL059C	Involved in cell division and spore germination
YCL058C	Function required for Yeast Viability on toxin exposure
YCL057W	Saccharolysin (oligopeptidase yscD)
YCL056C	Hypothetical ORF
YCL055W	involved in karyogamy|transcription factor
YCL054W	methyltransferase (putative)
YCL052C	protease B nonderepressible form
YCL051W	involved in laminarase resistance
YCL050C	diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase I
YCL049C	Hypothetical ORF
YCL048W	Hypothetical ORF
YCL047C	Hypothetical ORF
YCL045C	Hypothetical ORF
YCL046W	Hypothetical ORF
YCL044C	Hypothetical ORF
YCL043C	protein disulfide isomerase
YCL041C	Protein required for cell viability
YCL042W	Hypothetical ORF
YCL042W	Hypothetical ORF
YCL040W	glucokinase
YCL076W	Hypothetical ORF
YCL074W	Psuedogene: encodes fragment of Ty Pol protein
YCL068C	Hypothetical ORF
YCL067C	Homeobox-domain containing protein which, in haploid cells, acts with MCM1 to repress a-specific genes. In diploid cells alpha2 acts together with a1 to repress transcription of haploid-specific genes.
YCL066W	involved in the regulation of alpha-specific genes|transcription factor
YCL065W	Hypothetical ORF
YCL065W	Hypothetical ORF
YBR109w-a	Questionable ORF from MIPS
YBR126w-a	Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YBR126w-a	Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YBL069W	Protein involved in targeting of plasma membrane [H+]ATPase
YBR006W	succinate semialdehyde dehydrogenase
YBR201W	Degradation in the Endoplasmic Reticulum
YBR266C	Hypothetical ORF
YBR266C	Hypothetical ORF
YBR267W	Hypothetical ORF
YBR284W	Hypothetical ORF
YBR285W	Hypothetical ORF
YBR286W	aminopeptidase yscIII
YBR287W	Hypothetical ORF
YBR288C	clathrin associated protein complex medium subunit
YBR289W	chromatin remodeling Snf/Swi complex subunit
YBR290W	metal homeostasis protein; putative membrane protein
YBR291C	citrate tranporter
YBR292C	Hypothetical ORF
YBR293W	Hypothetical ORF
YBR294W	sulfate uptake is mediated by specific sulfate transporters SUL1 and SUL2, which control the concentration of endogenous activated sulfate intermediates.
YBR295W	P-type ATPase Cu(2+)-transporting (putative)
YBR296C	Na+/Pi symporter (putative)
YBR297W	MAL-activator protein
YBR298C	maltose permease
YBR299W	maltase
YBR300C	Hypothetical ORF
YBR301W	putative cell wall protein
YBR219C	Hypothetical ORF
YBR056w-a	
YBR058c-a	Involved in sphingolipid biosynthesis. Stimulates the activity of serine palmitoyltransferase (LCB1, LCB2) several-fold.
YBR085c-a	Hypothetical ORF
YBR259W	Hypothetical ORF
YBR260C	GTPase activating protein (GAP) (putative)
YBR261C	Hypothetical ORF
YBR262C	Hypothetical ORF
YBR263W	Serine hydroxymethyltransferase, mitochondrial
YBR264C	similar to Rab proteins and other small GTP-binding proteins
YBR265W	3-ketosphinganine reductase
YBR268W	ribosomal protein L37 (putative)
YBR269C	Hypothetical ORF
YBR270C	Hypothetical ORF
YBR271W	Hypothetical ORF
YBR272C	MutS family (putative)
YBR273C	Hypothetical ORF
YBR274W	protein kinase
YBR275C	RAP1-interacting factor
YBR276C	dual specificity protein phosphatase
YBR277C	Hypothetical ORF
YBR278W	DNA polymerase II C and C' subunits
YBR279W	RNA polymerase II-associated, nuclear protein that may serve as both a positive and negative regulator of a subset of genes, perhaps operating in parallel with Gal11p
YBR280C	Hypothetical ORF
YBR281C	Hypothetical ORF
YBR282W	ribosomal protein (YmL27)
YBR283C	SEC61 homolog involved in co-translational pathway of protein transport
YBR237W	RNA helicase
YBR238C	Hypothetical ORF
YBR239C	Hypothetical ORF
YBR240C	Transcriptional activator of thiamine biosynthetic genes
YBR241C	Hypothetical ORF
YBR242W	Hypothetical ORF
YBR243C	UDP-N-acetyl-glucosamine-1-P transferase (GPT)
YBR244W	Glutathione peroxidase paralogue
YBR245C	ATPase component of a four subunit chromatin remodeling complex
YBR246W	Hypothetical ORF
YBR247C	57 kDa protein with an apparent MW of 70 kDa by SDS-PAGE (putative)
YBR248C	glutamine amidotransferase:cyclase|imidazole glycerol phosphate synthase (synonym)
YBR249C	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase isoenzyme
YBR250W	Hypothetical ORF
YBR251W	ribosomal protein S5 (putative)
YBR252W	dUTP pyrophosphatase
YBR253W	part of Srb/Mediator complex|transcription factor
YBR254C	Trapp subunit of 20 kDa
YBR255W	Hypothetical ORF
YBR256C	Riboflavin biosynthesis
YBR257W	Required for normal 5.8S rRNA processing and for tRNA processing; associated with RNase MRP and RNase P
YBR258C	compass (complex proteins associated with Set1p) component
YBR214W	Similar to S. pombe SDS23, suppresses DIS2, localized to the nucleus
YBR215W	highly charged basic protein
YBR216C	redox regulator
YBR217W	autophagy
YBR218C	pyruvate carboxylase
YBR220C	Hypothetical ORF
YBR220C	Hypothetical ORF
YBR221C	pyruvate dehydrogenase beta subunit (E1 beta)
YBR222C	Probable AMP-binding protein
YBR223C	Tyrosine-DNA Phosphodiesterase
YBR224W	Hypothetical ORF
YBR225W	Hypothetical ORF
YBR226C	Hypothetical ORF
YBR227C	ATP-binding protein|similar to ClpX
YBR228W	
YBR229C	glucosidase II
YBR230C	Hypothetical ORF
YBR231C	Actin Overexpression Resistant
YBR232C	Hypothetical ORF
YBR233W	Overexpression confers resistance to the antimalarial drug mefloquine
YBR234C	Arp2/3 complex subunit, 40 kilodalton
YBR235W	Hypothetical ORF
YBR236C	RNA (guanine-7-)methyltransferase (cap methyltransferase)
YBR191W	ribosomal protein L21A
YBR192W	Protein of the mitochondrial carrier (MCF) family that is required for respiration
YBR193C	RNA polymerase II holoenzyme/mediator subunit
YBR194W	Synthetic with Old Yellow Enzyme
YBR195C	chromatin assembly factor-I (CAF-I) p50 subunit|negative regulator of ras-mediated cAMP induction|similar to GTP-binding protein beta subunit
YBR196C	glucose-6-phosphate isomerase
YBR197C	Hypothetical ORF
YBR198C	TAF(II) complex (TBP-associated protein complex) component required for activated transcription by RNA polymerase II
YBR199W	alpha-1,2-mannosyltransferase (putative)
YBR200W	SH3-domain protein that binds Cdc24p, Ste5p and Ste20p, and the Rsr1p/Bud2p/Bup5p GTPase
YBR202W	Essential for initiation of DNA replication
YBR203W	Ciclopirox olamine sensitive, COS111 is not part of the gene family containing genes COS1-COS10, COS12, and COS16.
YBR204C	Hypothetical ORF
YBR205W	alpha-1,2-mannosyltransferase (putative)
YBR205W	alpha-1,2-mannosyltransferase (putative)
YBR206W	Hypothetical ORF
YBR207W	FTS3 Homolog 1
YBR208C	urea amidolyase (contains urea carboxylase and allophanate hydrolase)
YBR209W	Hypothetical ORF
YBR210W	Putative ER vesicle protein with similarity to Erv14p
YBR211C	microtubule stability regulator
YBR212W	glucose-repressible RNA binding protein
YBR213W	Protein involved in the expression of PAPS reductase and sulfite reductase. Also executes last 2 steps in the biosynthesis of sirohaem.
YBR168W	Hypothetical ORF
YBR169C	HSP70 family|SSE1 homolog
YBR170C	Nuclear pore or nuclear pore-associated protein required for nuclear membrane integrity and nuclear transport
YBR171W	glycoprotein complexed with Sec62p and Sec63p in the Sec63 complex, an integral endoplasmic reticulum membrane protein complex required for translocation of presecretory proteins
YBR172C	partial suppressor of myo2-66
YBR173C	20S proteasome maturation factor
YBR174C	Hypothetical ORF
YBR175W	compass (complex proteins associated with Set1p) component
YBR176W	ExtraCellular Mutant
YBR177C	alcohol acyl transferase
YBR178W	Hypothetical ORF
YBR179C	Drosophila melanogaster fuzzy onions gene homolog|integral protein of the mitochondrial outer membrane; can be isolated as part of a high molecular weight complex
YBR180W	dityrosine transporter MFS-MDR
YBR182C	Second MEF2-like Protein 1Transcription factor of the MADS (Mcm1p, Agamous, Deficiens, SRF) box family; closely related to RLM1
YBR183W	alkaline ceramidase with reverse activity
YBR184W	Hypothetical ORF
YBR185C	involved in assembly of mitochondrial respiratory complexes
YBR186W	ATPase (putative)
YBR187W	Hypothetical ORF
YBR188C	splicing factor
YBR189W	ribosomal protein S9B (S13) (rp21) (YS11)
YBR189W	ribosomal protein S9B (S13) (rp21) (YS11)
YBR190W	Protein required for cell viability
YBR147W	Hypothetical ORF
YBR148W	Spore-specific protein
YBR149W	D-arabinose dehydrogenase
YBR150C	Probable Zn-finger protein
YBR151W	actin patches distal
YBR152W	U4/U6/U5 snRNP-associated protein|contains PEST proteolysis motif
YBR153W	Protein involved in the biosynthesis of riboflavin, second step in the riboflavin biosynthesis pathway
YBR154C	25 kDa RNA polymerase subunit (common to polymerases I, II and III)
YBR155W	cyclophilin seven suppressor
YBR156C	Mitotic spindle protein involved in chromosome segregation.
YBR157C	Increased Copper Sensitivity
YBR158W	Antagonist of MEN (Mitotic Exit Network)Chromosome STability
YBR159W	microsomal beta-keto-reductase
YBR160W	cyclin-dependent protein kinase
YBR161W	Hypothetical ORF
YBR162C	Target of SBF
YBR162W-A	Protein that participates in secretory pathway
YBR163W	weak similarity to Pta1p (pre-tRNA processing protein)
YBR164C	ADP-ribosylation factor-like protein 1
YBR165W	General positive regulator of CDC34; Suppress some cdc34 mutations when over-expressed
YBR166C	prephenate dehydrogenase (NADP+)
YBR167C	RNase MRP subunit (putative)|RNase P integral subunit
YBR124W	Hypothetical ORF
YBR125C	type 2C protein phosphatase
YBR126C	trehalose-6-phosphate synthase/phosphatase complex 56 kDa synthase subunit
YBR127C	vacuolar ATPase V1 domain subunit B (60 kDa)
YBR128C	Required for autophagy
YBR129C	imparts Far- phenotype
YBR130C	cytoplasmic protein involved in mother-specific HO expression
YBR131W	Calcium Caffeine Zinc sensitivity
YBR132C	plasma membrane carnitine transporter
YBR133C	Has homology to arginine methyltransferases
YBR134W	Hypothetical ORF
YBR135W	Cdc28 protein kinase subunit
